data,exam_period,screen_time
2020-08-19,True,73.0
2020-08-20,True,70.0
2020-08-21,True,76.0
2020-08-22,True,85.0
2020-08-23,True,58.0
2020-08-24,True,97.0
2020-08-25,True,62.0
2020-08-26,True,79.0
2020-08-27,True,77.0
2020-08-28,True,79.0
2020-08-29,True,50.0
2020-08-30,True,84.0
2020-08-31,True,83.0
2020-09-01,True,73.0
2020-09-02,True,85.0
2020-09-03,True,74.0
2020-09-04,True,83.0
2020-09-05,True,80.0
2020-09-06,True,73.0
2020-09-07,True,74.0
2020-09-08,True,72.0
2020-09-09,True,81.0
2020-09-10,True,76.0
2020-09-11,True,75.0
2020-09-12,True,78.0
2020-09-13,True,74.0
2020-09-14,True,75.0
2020-09-15,True,44.0
2020-09-16,False,105.0
2020-09-17,False,128.0
2020-09-18,False,128.0
2020-09-19,False,135.0
2020-09-20,False,123.0
2020-09-21,False,102.0
2020-09-22,False,137.0
2020-09-23,False,107.0
2020-09-24,False,85.0
2020-09-25,False,106.0
2020-09-26,False,121.0
2020-09-27,False,116.0
2020-09-28,False,108.0
2020-09-29,False,109.0
2020-09-30,False,109.0
2020-10-01,False,132.0
2020-10-02,False,111.0
2020-10-03,False,121.0
2020-10-04,False,111.0
2020-10-05,False,138.0
2020-10-06,False,
2020-10-07,False,
2020-10-08,False,
2020-10-09,False,113.0
2020-10-10,False,111.0
2020-10-11,False,116.0
2020-10-12,False,120.0
2020-10-13,False,85.0
2020-10-14,False,116.0
2020-10-15,False,113.0
2020-10-16,False,121.0
2020-10-17,False,135.0
2020-10-18,False,109.0
2020-10-19,False,118.0
2020-10-20,False,124.0
2020-10-21,False,132.0
2020-10-22,False,107.0
2020-10-23,False,129.0
2020-10-24,False,106.0
2020-10-25,False,135.0
2020-10-26,False,105.0
2020-10-27,False,63.0
2020-10-28,False,109.0
2020-10-29,False,106.0
2020-10-30,False,105.0
2020-10-31,False,125.0
2020-11-01,False,107.0
2020-11-02,False,125.0
2020-11-03,False,106.0
2020-11-04,False,107.0
2020-11-05,False,124.0
2020-11-06,False,130.0
2020-11-07,False,115.0
2020-11-08,False,127.0
2020-11-09,False,117.0
2020-11-10,False,133.0
2020-11-11,False,120.0
2020-11-12,False,117.0
2020-11-13,False,120.0
2020-11-14,False,124.0
2020-11-15,False,124.0
2020-11-16,False,114.0
2020-11-17,False,109.0
2020-11-18,False,120.0
2020-11-19,False,131.0
2020-11-20,False,105.0
2020-11-21,False,112.0
2020-11-22,False,125.0
2020-11-23,False,119.0
2020-11-24,False,125.0
2020-11-25,False,115.0
2020-11-26,False,128.0
2020-11-27,False,117.0
2020-11-28,False,115.0
2020-11-29,False,129.0
2020-11-30,False,78.0
2020-12-01,False,119.0
2020-12-02,False,126.0
2020-12-03,False,110.0
2020-12-04,False,125.0
2020-12-05,False,153.0
2020-12-06,False,95.0
2020-12-07,False,167.0
2020-12-08,False,109.0
2020-12-09,False,123.0
2020-12-10,False,108.0
2020-12-11,False,118.0
2020-12-12,False,117.0
2020-12-13,False,120.0
